SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey,lkey
34.952,-77.926,34.97,-77.94,2017,34.952:-77.926,-77.926:34.970,16435
36.051,-78.858,36.05,-78.86,2017,36.051:-78.858,-78.858:36.050,11000
35.916,-77.585,35.93,-77.58,2017,35.916:-77.585,-77.585:35.930,17482
36.117,-80.27600000000001,36.13,-80.26,2017,36.117:-80.276,-80.276:36.130,11002
36.042,-78.277,36.05,-78.26,2017,36.042:-78.277,-78.277:36.050,11003
35.284,-81.189,35.29,-81.18,2017,35.284:-81.189,-81.189:35.290,11004
36.424,-76.702,36.41,-76.7,2017,36.424:-76.702,-76.702:36.410,11005
35.342,-83.81,35.33,-83.82,2017,35.342:-83.810,-83.810:35.330,14798
36.282,-78.63,36.29,-78.62,2017,36.282:-78.630,-78.630:36.290,11006
35.5,-77.65100000000001,35.49,-77.66,2017,35.500:-77.651,-77.651:35.490,11007
36.079,-79.79,36.09,-79.78,2017,36.079:-79.790,-79.790:36.090,11008
36.258,-77.618,36.25,-77.62,2017,36.258:-77.618,-77.618:36.250,11009
35.388000000000005,-78.876,35.37,-78.86,2017,35.388:-78.876,-78.876:35.370,11010
35.321999999999996,-82.50299999999999,35.33,-82.5,2017,35.322:-82.503,-82.503:35.330,14799
36.391999999999996,-76.949,36.41,-76.94,2017,36.392:-76.949,-76.949:36.410,11011
35.024,-79.247,35.01,-79.26,2017,35.024:-79.247,-79.247:35.010,16897
35.356,-76.187,35.37,-76.18,2017,35.356:-76.187,-76.187:35.370,11012
35.773,-80.902,35.77,-80.9,2017,35.773:-80.902,-80.902:35.770,11014
35.264,-83.141,35.25,-83.14,2017,35.264:-83.141,-83.141:35.250,14800
35.536,-78.387,35.53,-78.38,2017,35.536:-78.387,-78.387:35.530,11015
35.012,-77.39,35.01,-77.38,2017,35.012:-77.390,-77.390:35.010,11016
35.468,-79.165,35.45,-79.18,2017,35.468:-79.165,-79.165:35.450,11017
35.217,-77.613,35.21,-77.62,2017,35.217:-77.613,-77.613:35.210,11018
35.485,-81.23899999999999,35.49,-81.22,2017,35.485:-81.239,-81.239:35.490,11019
35.739000000000004,-82.06,35.73,-82.06,2017,35.739:-82.060,-82.060:35.730,14801
35.162,-83.42299999999999,35.17,-83.42,2017,35.162:-83.423,-83.423:35.170,14802
35.872,-82.686,35.89,-82.7,2017,35.872:-82.686,-82.686:35.890,14803
35.865,-77.08800000000001,35.85,-77.1,2017,35.865:-77.088,-77.088:35.850,11020
35.258,-80.805,35.25,-80.82,2017,35.258:-80.805,-80.805:35.250,11021
35.991,-82.198,36.01,-82.18,2017,35.991:-82.198,-82.198:36.010,14804
35.324,-79.899,35.33,-79.9,2017,35.324:-79.899,-79.899:35.330,11022
35.281,-79.432,35.29,-79.42,2017,35.281:-79.432,-79.432:35.290,11023
35.965,-77.977,35.97,-77.98,2017,35.965:-77.977,-77.977:35.970,11024
34.159,-77.872,34.17,-77.86,2017,34.159:-77.872,-77.872:34.170,11025
36.356,-77.483,36.37,-77.5,2017,36.356:-77.483,-77.483:36.370,11026
34.711999999999996,-77.391,34.73,-77.38,2017,34.712:-77.391,-77.391:34.730,11027
36.052,-79.107,36.05,-79.1,2017,36.052:-79.107,-79.107:36.050,11028
